Row #,code,area,year,number_of_jobs,job_density
58,E09000009,Ealing,2001,134000,0.63
59,E09000010,Enfield,2001,111000,0.61
60,E09000011,Greenwich,2001,71000,0.5
61,E09000012,Hackney,2001,108000,0.77
62,E09000013,Hammersmith and Fulham,2001,123000,0.98
63,E09000014,Haringey,2001,75000,0.48
64,E09000015,Harrow,2001,80000,0.58
65,E09000016,Havering,2001,88000,0.63
66,E09000017,Hillingdon,2001,185000,1.16
67,E09000018,Hounslow,2001,150000,1.02
68,E09000019,Islington,2001,168000,1.3
69,E09000020,Kensington and Chelsea,2001,149000,1.26
70,E09000021,Kingston upon Thames,2001,82000,0.8
71,E09000022,Lambeth,2001,130000,0.66
72,E09000023,Lewisham,2001,75000,0.43
73,E09000024,Merton,2001,81000,0.62
74,E09000025,Newham,2001,79000,0.48
75,E09000026,Redbridge,2001,82000,0.52
76,E09000027,Richmond upon Thames,2001,85000,0.72
77,E09000028,Southwark,2001,190000,1.06
78,E09000029,Sutton,2001,77000,0.65
79,E09000030,Tower Hamlets,2001,167000,1.21
80,E09000031,Waltham Forest,2001,69000,0.46
81,E09000032,Wandsworth,2001,124000,0.61
82,E09000033,Westminster,2001,612000,4.03
83,E12000001,North East,2001,1075000,0.66
84,E12000002,North West,2001,3259000,0.76
85,E12000003,Yorkshire and The Humber,2001,2400000,0.76
86,E12000004,East Midlands,2001,2011000,0.75
87,E12000005,West Midlands,2001,2609000,0.78
88,E12000006,East,2001,2654000,0.77
89,E12000007,London,2001,4580000,0.92
90,E12000008,South East,2001,4299000,0.84
91,E12000009,South West,2001,2543000,0.82
92,W92000004,Wales,2001,1272000,0.7
93,S92000003,Scotland,2001,2581000,0.79
94,N92000002,Northern Ireland,2001,773000,0.72
95,E92000001,England,2001,25430000,0.8
96,K04000001,England and Wales,2001,26702000,0.8
97,K03000001,Great Britain,2001,29283000,0.8
98,K02000001,United Kingdom,2001,30056000,0.79
99,E09000001,City of London,2002,344000,60.47
100,E09000002,Barking and Dagenham,2002,52000,0.5
101,E09000003,Barnet,2002,135000,0.64
102,E09000004,Bexley,2002,79000,0.57
103,E09000005,Brent,2002,116000,0.62
104,E09000006,Bromley,2002,119000,0.63
105,E09000007,Camden,2002,287000,1.92
106,E09000008,Croydon,2002,149000,0.68
107,E09000009,Ealing,2002,133000,0.62
108,E09000010,Enfield,2002,104000,0.57
109,E09000011,Greenwich,2002,73000,0.5
110,E09000012,Hackney,2002,108000,0.75
111,E09000013,Hammersmith and Fulham,2002,119000,0.94
112,E09000014,Haringey,2002,75000,0.47
113,E09000015,Harrow,2002,80000,0.57
114,E09000016,Havering,2002,91000,0.65
115,E09000017,Hillingdon,2002,182000,1.13
116,E09000018,Hounslow,2002,136000,0.91
117,E09000019,Islington,2002,169000,1.29
118,E09000020,Kensington and Chelsea,2002,140000,1.17
119,E09000021,Kingston upon Thames,2002,79000,0.77
120,E09000022,Lambeth,2002,137000,0.69
121,E09000023,Lewisham,2002,79000,0.45
122,E09000024,Merton,2002,77000,0.59
123,E09000025,Newham,2002,74000,0.43
124,E09000026,Redbridge,2002,83000,0.52
125,E09000027,Richmond upon Thames,2002,80000,0.67
126,E09000028,Southwark,2002,166000,0.92
127,E09000029,Sutton,2002,73000,0.62
128,E09000030,Tower Hamlets,2002,160000,1.12
129,E09000031,Waltham Forest,2002,70000,0.46
130,E09000032,Wandsworth,2002,127000,0.62
131,E09000033,Westminster,2002,598000,3.82
132,E12000001,North East,2002,1101000,0.68
133,E12000002,North West,2002,3325000,0.77
134,E12000003,Yorkshire and The Humber,2002,2441000,0.77
135,E12000004,East Midlands,2002,2022000,0.75
136,E12000005,West Midlands,2002,2616000,0.78
137,E12000006,East,2002,2699000,0.78
138,E12000007,London,2002,4491000,0.89
