,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E12000008,South East,279.2,0.8,294.9,0.8,307.4,0.6,319.1,0.7,336.6,0.8,353.1,0.7,359.3,0.7,371.7,0.8,364.8,0.7,380.3,0.6,393.5,0.7,409.7,0.8,415.0,0.8,418.4,0.7,421.3,0.7,430.2,0.7,426.0,0.7,434.8,0.7,447.1,0.7,460.0,0.6,466.4,0.7,477.7,0.5,498.3,0.5
E12000009,South West,245.4,1.2,257.1,1.0,262.2,1.1,272.7,1.1,284.5,1.1,296.6,1.1,308.3,1.1,317.1,1.1,320.0,0.9,337.5,1.0,350.6,0.9,362.8,1.1,368.0,0.9,371.6,1.0,362.8,0.9,367.0,0.9,378.7,0.9,379.1,0.8,389.3,0.9,402.9,1.0,413.8,1.0,423.4,0.9,438.3,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,237.8,2.0,249.5,2.1,253.5,2.5,266.2,2.1,270.2,2.4,284.3,1.9,290.0,1.9,305.4,2.1,318.7,1.8,322.7,1.9,329.9,1.8,345.0,1.8,354.6,1.9,354.7,1.7,354.5,1.7,360.8,1.7,365.5,1.6,363.1,1.7,381.9,1.7,393.1,1.6,407.4,1.7,420.2,1.7,429.2,1.4
S92000003,Scotland,254.3,1.0,262.1,1.0,274.8,1.0,282.8,1.0,294.5,1.1,302.8,1.1,314.4,1.0,321.3,1.0,330.0,1.0,345.0,0.9,361.2,1.0,375.0,1.0,384.5,0.9,393.3,1.0,389.1,0.8,394.0,0.9,408.8,0.9,414.7,0.9,422.6,1.0,431.6,0.8,442.1,0.8,453.5,0.9,470.0,0.8
W92000004,Wales,251.5,1.8,255.8,1.4,263.8,1.5,274.2,1.6,277.9,1.5,286.2,1.5,297.6,1.4,315.5,1.5,315.2,1.5,330.0,1.4,332.0,1.6,342.5,1.2,354.8,1.3,364.2,1.3,362.3,1.2,361.5,1.3,377.5,1.5,379.4,1.3,383.3,1.3,403.0,1.1,405.2,1.3,415.2,1.3,440.8,1.2
E92000001,England,273.2,0.2,284.4,0.2,292.6,0.2,304.4,0.3,318.4,0.3,330.1,0.2,340.8,0.3,351.4,0.3,354.6,0.2,368.1,0.2,382.4,0.2,395.4,0.3,402.5,0.2,409.7,0.3,405.1,0.3,412.4,0.2,420.9,0.2,421.6,0.1,429.0,0.3,441.7,0.2,454.0,0.3,465.6,0.3,482.1,0.3
K04000001,England and Wales,272.1,0.3,283.1,0.2,292.7,0.2,302.5,0.2,316.7,0.2,327.6,0.2,338.2,0.2,349.6,0.2,352.7,0.2,366.0,0.2,379.0,0.2,392.5,0.2,400.0,0.2,406.7,0.2,402.5,0.2,409.3,0.2,418.1,0.2,420.0,0.2,426.2,0.2,440.8,0.1,450.7,0.2,462.3,0.2,479.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain,270.0,0.2,281.2,0.2,291.0,0.2,300.2,0.2,314.1,0.2,326.1,0.1,335.9,0.2,346.0,0.2,350.0,0.2,364.1,0.1,377.4,0.2,390.5,0.2,398.6,0.2,405.3,0.2,401.7,0.2,407.6,0.2,417.0,0.2,419.4,0.2,425.9,0.1,440.0,0.1,450.1,0.2,461.1,0.2,479.1,0.1
K02000001,United Kingdom,268.9,0.2,280.2,0.2,290.0,0.2,299.6,0.1,312.5,0.2,324.8,0.2,334.8,0.2,345.5,0.1,349.1,0.2,363.0,0.2,376.0,0.2,388.8,0.2,397.1,0.2,403.8,0.2,400.0,0.2,405.8,0.2,415.3,0.2,417.9,0.1,425.1,0.2,438.4,0.2,448.5,0.2,460.0,0.1,479.1,0.1
