station,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kensal Green,2.39,2.63,2.19,2.33,2.32,2.54,2.56,2.28,2.563193,2.72,2.69
Kensington (Olympia),0.95,1.32,1.27,1.29,1.74,1.8,1.88,1.95,2.008711,2.05,2.01
Kentish Town,6.43,7.1,7.28,7.44,7.21,7.58,6.45,7.72,10.493555,8.36,8.35
Kenton,1.44,1.47,1.68,1.82,1.94,1.97,2.02,1.96,2.1164169999999998,2.08,2.07
Kew Gardens,3.3,3.17,3.22,3.34,3.13,3.24,3.52,3.56,3.5496830000000004,4.18,4.37
Kilburn,8.5,8.56,7.85,7.2,7.52,7.69,7.79,7.87,8.269438000000001,8.58,8.62
Kilburn Park,3.36,3.62,4.07,3.79,3.46,3.45,3.48,3.38,3.4171480000000005,3.43,3.37
King's Cross St. Pancras,66.36,67.07,66.15,72.58,77.11,80.97,84.87,91.98,93.41301800000001,95.03,97.92
Kingsbury,3.33,3.32,3.33,3.11,3.44,3.73,4.12,4.59,4.9687470000000005,5.12,5.22
Knightsbridge,21.57,19.64,20.16,20.2,20.7,21.57,21.47,21.47,20.296928,19.09,17.21
Ladbroke Grove,4.84,5.44,5.12,5.23,5.09,5.3,5.67,6.08,5.813508000000001,5.8,5.95
Lambeth North,2.94,3.2,3.31,3.55,3.5,3.31,3.02,3.57,3.285854,0.0,3.53
Lancaster Gate,5.72,5.97,6.48,6.52,6.68,6.7,6.79,6.55,6.293475,7.06,6.24
Latimer Road,1.99,2.15,1.98,2.0,1.7,1.91,2.19,2.39,2.572535,2.63,2.46
Leicester Square,38.69,33.87,35.56,36.94,38.78,38.51,38.6,43.31,43.745951,37.84,36.73
Leyton,12.32,12.65,12.35,12.56,13.29,12.86,13.53,14.07,14.406501,14.33,13.47
Leytonstone,9.44,9.86,9.7,9.79,10.45,10.1,10.38,11.05,11.244736999999999,11.3,11.0
Liverpool Street,61.32,64.16,60.91,62.72,63.65,64.23,67.89,73.66,73.25732099999999,71.61,67.74
London Bridge,56.95,60.55,61.49,60.79,65.44,67.16,69.88,74.98,71.964428,70.74,69.05
Loughton,2.47,2.66,2.67,2.76,3.0,3.02,3.17,3.26,3.272688,3.45,3.58
Maida Vale,3.05,3.21,3.16,3.07,2.99,3.15,3.35,3.45,3.3827580000000004,3.41,3.29
Manor House,9.3,8.65,8.83,8.83,9.21,9.23,9.26,9.39,9.275642,9.12,8.69
Mansion House,5.11,5.32,7.03,7.2,7.42,5.65,5.77,6.2,5.5612129999999995,6.14,6.41
Marble Arch,14.97,16.3,16.62,17.79,16.87,15.69,16.36,16.11,15.442682000000001,14.11,14.0
Marylebone,10.8,11.38,11.73,11.39,11.4,12.11,13.4,13.3,12.525312,12.95,13.7
Mile End,12.08,13.3,13.52,13.23,14.01,14.06,14.37,15.6,16.310716,15.75,15.75
Mill Hill East,0.96,1.0,1.04,1.05,1.09,1.1,1.17,1.29,1.318158,1.34,1.38
Moor Park,0.73,0.76,0.77,0.78,0.82,0.81,0.82,0.89,0.88639,0.91,0.94
Moorgate,21.02,22.22,21.18,21.04,21.23,20.59,21.38,25.9,26.06263,27.57,26.87
Morden,6.28,6.65,6.98,6.76,7.2,7.28,7.7,8.62,9.275569,10.06,10.41
Mornington Crescent,4.05,4.29,4.48,4.67,4.3,4.55,4.65,4.76,4.531089,5.04,5.08
Neasden,3.33,2.99,2.85,2.66,2.7,2.91,3.11,3.41,3.6724699999999997,3.75,3.84
Newbury Park,3.38,3.59,3.93,3.85,3.92,3.93,4.4,4.62,4.327726999999999,5.43,5.53
North Acton,4.99,5.1,4.72,4.81,4.64,5.2,5.47,5.68,6.106253,6.53,6.79
North Ealing,0.87,0.92,0.94,0.88,0.94,0.9,0.86,0.89,0.892594,0.91,0.83
